"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00293706","2018-05-03","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  233",",,7","   11",",,7",,,,,,,,,"  133",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-04","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  194",",,7","   39",",,7",,,,,,,,,"  139",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-05","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  200",",,7","   44",",,7",,,,,,,,,"  194",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-06","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  278",",,7","   61",",,7",,,,,,,,,"  211",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-07","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  289",",,7","   89",",,7",,,,,,,,,"  261",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-08","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  300",",,7","  128",",,7",,,,,,,,,"  261",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-09","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  289",",,7","   83",",,7",,,,,,,,,"  228",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-10","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  283",",,7","   83",",,7",,,,,,,,,"  267",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-11","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  311",",,7","   78",",,7",,,,,,,,,"  261",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-12","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  311",",,7","  100",",,7",,,,,,,,,"  256",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-13","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  294",",,7","   67",",,7",,,,,,,,,"  211",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-14","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  278",",,7","  100",",,7",,,,,,,,,"  172",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-15","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  272",",,7","  100",",,7",,,,,,,,,"  156",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-16","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  217",",,7","   56",",,7",,,,,,,,,"  200",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-17","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  283",",,7","   94",",,7",,,,,,,,,"  222",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-18","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  300",",,7","  100",",,7",,,,,,,,,"  233",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-19","36.5938","-103.6191","1829.4","GRENVILLE, NM US","   13",",,7,1700","    0",",,7","    0",",,7","  283",",,7","   89",",,7",,,,,,,,,"  150",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-20","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  211",",,7","   56",",,7",,,,,,,,,"  106",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-21","36.5938","-103.6191","1829.4","GRENVILLE, NM US","   81",",,7,1700","    0",",,7","    0",",,7","  200",",,7","   72",",,7",,,,,,,,,"  178",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-22","36.5938","-103.6191","1829.4","GRENVILLE, NM US","  114",",,7,1700","    0",",,7","    0",",,7","  233",",,7","   94",",,7",,,,,,,,,"  156",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-23","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  239",",,7","  106",",,7",,,,,,,,,"  172",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-24","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  217",",,7","   94",",,7",,,,,,,,,"  200",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-25","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  289",",,7","  100",",,7",,,,,,,,,"  261",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-26","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  300",",,7","  117",",,7",,,,,,,,,"  283",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-27","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  317",",,7","  144",",,7",,,,,,,,,"  244",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-28","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  300",",,7","  100",",,7",,,,,,,,,"  233",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-29","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  300",",,7","  117",",,7",,,,,,,,,"  200",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-30","36.5938","-103.6191","1829.4","GRENVILLE, NM US","  127",",,7,1700","    0",",,7","    0",",,7","  272",",,7","  122",",,7",,,,,,,,,"  217",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-05-31","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  272",",,7","   61",",,7",,,,,,,,,"  250",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-06-01","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  300",",,7","   89",",,7",,,,,,,,,"  283",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-06-02","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  322",",,7","  111",",,7",,,,,,,,,"  183",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-06-03","36.5938","-103.6191","1829.4","GRENVILLE, NM US","   20",",,7,1700","    0",",,7","    0",",,7","  233",",,7","   72",",,7",,,,,,,,,"  161",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-06-04","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  217",",,7","  106",",,7",,,,,,,,,"  217",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-06-05","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  306",",,7","  106",",,7",,,,,,,,,"  300",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00293706","2018-06-06","36.5938","-103.6191","1829.4","GRENVILLE, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  344",",,7","   89",",,7",,,,,,,,,"  306",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,
