"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00355160","2018-04-21","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    0",",,7,0800",,,,,"  222",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,,,"   61",",,7,0800",,,,,"   94",",,7",,,"  122",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-04-22","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    0",",,7,0800",,,,,"  217",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,,,"   72",",,7,0800",,,,,"  106",",,7",,,"  128",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-04-23","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    0",",,7,0800",,,,,"  189",",,7","   44",",,7",,,,,,,,,,,,,,,,,,,,,,,"   67",",,7,0800",,,,,"  106",",,7",,,"  122",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-04-24","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    0",",,7,0800",,,,,"  200",",,7","   39",",,7",,,,,,,,,,,,,,,,,,,,,,,"   56",",,7,0800",,,,,"   94",",,7",,,"  128",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-04-26","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    0",",,7,0800",,,,,"  256",",,7","   33",",,7",,,,,,,,,,,,,,,,,,,,,,,"   78",",,7,0800",,,,,"  100",",,7",,,"  144",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-04-27","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    0",",,7,0800",,,,,"  278",",,7","   72",",,7",,,,,,,,,,,,,,,,,,,,,,,"   83",",,7,0800",,,,,"  122",",,7",,,"  156",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-04-28","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    0",",,7,0800",,,,,"  311",",,7","   83",",,7",,,,,,,,,,,,,,,,,,,,,,,"  133",",,7,0800",,,,,"  128",",,7",,,"  161",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-04-29","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    5",",,7,0800",,,,,"  200",",,7","   72",",,7",,,,,,,,,,,,,,,,,,,,,,,"   94",",,7,0800",,,,,"  133",",,7",,,"  150",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-04-30","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    3",",,7,0800",,,,,"  167",",,7","   44",",,7",,,,,,,,,,,,,,,,,,,,,,,"   67",",,7,0800",,,,,"  122",",,7",,,"  139",",,7",,,,,,,,,,,,,,,,,,
"USC00355160","2018-05-02","43.9794","-117.0247","688.8","MALHEUR BRANCH EXPERIMENT STATION, OR US","    0",",,7,0800",,,,,"  189",",,7","   67",",,7",,,,,,,,,,,,,,,,,,,,,,,"   89",",,7,0800",,,,,"  122",",,7",,,"  139",",,7",,,,,,,,,,,,,,,,,,
