"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00404568","2018-07-07","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","   46",",,7,0700","    0",",,7","    0",",,7,0700","  311",",,7","  217",",,7",,,,,"  222",",,7,0700",,,,,,,"    1",",,7",,,,,,,,
"USC00404568","2018-07-08","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  300",",,7","  217",",,7",,,,,"  228",",,7,0700",,,,,,,,,,,,,,,,
"USC00404568","2018-07-09","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","    3",",,7,0700","    0",",,7","    0",",,7,0700","  306",",,7","  217",",,7",,,,,"  228",",,7,0700",,,,,,,,,,,,,,,,
"USC00404568","2018-07-10","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  311",",,7","  217",",,7",,,,,"  239",",,7,0700",,,,,,,"    1",",,7",,,,,,,,
"USC00404568","2018-07-11","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  339",",,7","  222",",,7",,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,
"USC00404568","2018-07-12","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  350",",,7","  217",",,7",,,,,"  233",",,7,0700",,,,,,,,,,,,,,,,
"USC00404568","2018-07-13","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  339",",,7","  222",",,7",,,,,"  239",",,7,0700",,,,,,,,,,,,,,,,
"USC00404568","2018-07-14","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  356",",,7","  239",",,7",,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,
"USC00404568","2018-07-15","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  356",",,7","  239",",,7",,,,,"  244",",,7,0700",,,,,,,"    1",",,7",,,,,,,,
"USC00404568","2018-07-16","35.7103","-88.8223","131.1","JACKSON 4 NE, TN US","  531",",,7,0700","    0",",,7","    0",",,7,0700","  350",",,7","  217",",,7",,,,,"  222",",,7,0700",,,,,,,"    1",",,7",,,,,,,,
