"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00411715","2018-05-08","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  156",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-09","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  189",",,7",,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-10","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  183",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-11","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  189",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-12","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  206",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-13","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  189",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-14","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  206",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-15","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  161",",,7",,,,,,,,,"  172",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-16","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  172",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-17","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    8",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  211",",,7",,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-18","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  228",",,7",,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-19","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  178",",,7",,,,,,,,,"  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-20","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  178",",,7",,,,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-21","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  228",",,7","  156",",,7",,,,,,,,,"  172",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-22","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  167",",,7",,,,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-23","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  178",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-24","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","  381",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  139",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-25","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  161",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-26","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  183",",,7",,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-27","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  244",",,7",,,,,,,,,"  267",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-28","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  250",",,7",,,,,,,,,"  267",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-29","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  189",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-30","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  206",",,7",,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-05-31","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  206",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-01","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","  203",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  211",",,7",,,,,,,,,"  278",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-02","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   30",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  222",",,7",,,,,,,,,"  250",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-03","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  239",",,7",,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-04","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  183",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-05","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  206",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-06","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  222",",,7",,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-07","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   79",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  194",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-08","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    5",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  206",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-09","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  183",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-10","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  194",",,7",,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-11","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  189",",,7",,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-12","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  194",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-13","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  200",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-14","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US",,,"    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-15","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  183",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-16","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   10",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  194",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-17","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","  544",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  150",",,7",,,,,,,,,"  156",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-18","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","  156",",,7",,,,,,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-19","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  283",",,7","  178",",,7",,,,,,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-20","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  183",",,7",,,,,,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-21","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   13",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  194",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-22","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  200",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-23","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  200",",,7",,,,,,,,,"  250",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-24","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  200",",,7",,,,,,,,,"  261",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-25","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  222",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-26","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  183",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-27","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  189",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-28","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    8",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  211",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-29","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  194",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-06-30","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  200",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-01","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   51",",,7,0800","    0",",,7","    0",",,7","  283",",,7","  178",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-02","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  200",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-03","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  200",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-04","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  200",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-05","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  194",",,7",,,,,,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-06","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   15",",,7,0800","    0",",,7","    0",",,7","  233",",,7","  156",",,7",,,,,,,,,"  178",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-07","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   10",",,7,0800","    0",",,7","    0",",,7","  267",",,7","  161",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-08","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  250",",,7","  172",",,7",,,,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-09","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","  102",",,7,0800","    0",",,7","    0",",,7","  250",",,7","  167",",,7",,,,,,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-10","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  261",",,7","  178",",,7",,,,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-11","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  256",",,7","  178",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-12","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  189",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-13","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   23",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  183",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-14","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  189",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-15","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  189",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-16","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","  635",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  161",",,7",,,,,,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-17","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   61",",,7,0800","    0",",,7","    0",",,7","  267",",,7","  189",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-18","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  183",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-19","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  194",",,7",,,,,,,,,"  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-20","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  200",",,7",,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-21","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  200",",,7",,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-22","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  200",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-23","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  200",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-24","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  217",",,7",,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-25","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  217",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-26","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  200",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-27","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  194",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-28","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  178",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-29","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  178",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-30","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  200",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-07-31","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  183",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-08-01","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","   13",",,7,0800","    0",",,7","    0",",,7","  267",",,7","  167",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-08-02","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  194",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-08-03","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  194",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00411715","2018-08-04","29.2703","-103.3003","1615.4","CHISOS BASIN, TX US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  200",",,7",,,,,,,,,"  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
