"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00412585","2018-06-07","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  228",",,7","  333",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-08","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  211",",,7","  328",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-09","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  233",",,7","  283",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-10","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  233",",,7","  328",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-11","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  239",",,7","  328",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-12","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  361",",,7","  244",",,7","  333",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-13","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  233",",,7","  328",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-14","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  217",",,7","  311",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-15","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  228",",,7","  306",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-16","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  228",",,7","  311",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-17","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","   20",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  222",",,7","  300",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-18","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0","T,,7,0700","    0",",,7","    0",",,7","  328",",,7","  217",",,7","  294",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-19","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","   79",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  217",",,7","  228",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-20","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","   38",",,7,0700","    0",",,7","    0",",,7","  283",",,7","  222",",,7","  256",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-21","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  217",",,7","  311",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-22","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  233",",,7","  339",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-23","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  233",",,7","  339",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-24","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  239",",,7","  322",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-25","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  239",",,7","  311",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-26","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    3",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  239",",,7","  328",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-27","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  367",",,7","  228",",,7","  333",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-28","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  222",",,7","  328",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-29","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  361",",,7","  233",",,7","  333",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-06-30","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  361",",,7","  244",",,7","  333",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-07-01","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  383",",,7","  233",",,7","  356",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-07-02","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  372",",,7","  222",",,7","  350",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-07-03","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  372",",,7","  228",",,7","  344",",,7,1800",,,,,,,,,,,,
"USC00412585","2018-07-04","30.2195","-97.9879","330.4","DRIPPING SPRINGS 6 E, TX US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  211",",,7","  228",",,7,1800",,,,,,,,,,,,
