"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00425406","2018-07-05","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","   83",",,7"
"USC00425406","2018-07-06","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  117",",,7"
"USC00425406","2018-07-07","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  106",",,7"
"USC00425406","2018-07-08","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  133",",,7"
"USC00425406","2018-07-09","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  139",",,7"
"USC00425406","2018-07-10","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  139",",,7"
"USC00425406","2018-07-11","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  144",",,7"
"USC00425406","2018-07-12","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  139",",,7"
"USC00425406","2018-07-13","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   20",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  117",",,7"
"USC00425406","2018-07-14","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  150",",,7"
"USC00425406","2018-07-15","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   20",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  117",",,7"
"USC00425406","2018-07-16","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    8",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  128",",,7"
"USC00425406","2018-07-17","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   15",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  139",",,7"
"USC00425406","2018-07-18","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  122",",,7"
"USC00425406","2018-07-19","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  122",",,7"
"USC00425406","2018-07-20","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  139",",,7"
"USC00425406","2018-07-21","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  144",",,7"
"USC00425406","2018-07-22","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  139",",,7"
"USC00425406","2018-07-23","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  122",",,7"
