"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00450482","2018-06-08","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","    0",",,7,0800","    0",",,7","    0",",,7","  200",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-09","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","   84",",,7,0800","    0",",,7","    0",",,7","  189",",,7","   94",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-10","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","   33",",,7,0800","    0",",,7","    0",",,7","  150",",,7","   78",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-11","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","   89",",,7,0800","    0",",,7","    0",",,7","  128",",,7","   39",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-12","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","    0",",,7,0800","    0",",,7","    0",",,7","  206",",,7","   33",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-13","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","    0",",,7,0800","    0",",,7","    0",",,7","  256",",,7","   39",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-14","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","    3",",,7,0800","    0",",,7","    0",",,7","  178",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-15","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","    0",",,7,0800","    0",",,7","    0",",,7","  183",",,7","   78",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-16","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","    0",",,7,0800","    0",",,7","    0",",,7","  211",",,7","   94",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-17","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","   20",",,7,0800","    0",",,7","    0",",,7","  239",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-18","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","   28",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00450482","2018-06-19","45.7716","-122.5286","86.6","BATTLE GROUND, WA US","    0",",,7,0800","    0",",,7","    0",",,7","  267",",,7","   89",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
