"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00472425","2018-07-06","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  144",",,7",,,,,,
"USC00472425","2018-07-07","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  161",",,7",,,,,,
"USC00472425","2018-07-08","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  167",",,7",,,,,,
"USC00472425","2018-07-09","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  211",",,7",,,,,,
"USC00472425","2018-07-10","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  167",",,7",,,,,,
"USC00472425","2018-07-11","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  167",",,7",,,,,,
"USC00472425","2018-07-12","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","  183",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  211",",,7",,,,,,
"USC00472425","2018-07-13","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","   46",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  211",",,7",,,,,,
"USC00472425","2018-07-14","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  189",",,7",,,,,,
"USC00472425","2018-07-15","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  200",",,7",,,,,,
"USC00472425","2018-07-16","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  183",",,7",,,,,,
"USC00472425","2018-07-17","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  156",",,7",,,,,,
"USC00472425","2018-07-18","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  139",",,7",,,,,,
"USC00472425","2018-07-19","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","   20",",,7,2400","    0",",,7,2400","    0",",,7,2400","  244",",,7","  167",",,7",,,,,,
"USC00472425","2018-07-20","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  183",",,7",,,,,,
"USC00472425","2018-07-21","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  172",",,7",,,,,,
"USC00472425","2018-07-22","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  172",",,7",,,,,,
"USC00472425","2018-07-23","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  156",",,7",,,,,,
"USC00472425","2018-07-24","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  178",",,7",,,,,,
"USC00472425","2018-07-25","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    5",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  167",",,7",,,,,,
"USC00472425","2018-07-26","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","   28",",,7,2400","    0",",,7,2400","    0",",,7,2400","  211",",,7","  144",",,7",,,,,,
"USC00472425","2018-07-27","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  139",",,7",,,,,,
"USC00472425","2018-07-28","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  117",",,7",,,,,,
"USC00472425","2018-07-29","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  139",",,7",,,,,,
"USC00472425","2018-07-30","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  139",",,7",,,,,,
"USC00472425","2018-07-31","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  150",",,7",,,,,,
"USC00472425","2018-08-01","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","   69",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  144",",,7",,,,,,
"USC00472425","2018-08-02","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  222",",,7","  128",",,7",,,,,,
"USC00472425","2018-08-03","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","   58",",,7,2400","    0",",,7,2400","    0",",,7,2400","  244",",,7","  111",",,7",,,,,,
"USC00472425","2018-08-04","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","   33",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  200",",,7",,,,,,
"USC00472425","2018-08-05","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  189",",,7",,,,,,
"USC00472425","2018-08-06","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  200",",,7",,,,,,
"USC00472425","2018-08-07","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","   58",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  167",",,7",,,,,,
"USC00472425","2018-08-08","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    3",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  156",",,7",,,,,,
"USC00472425","2018-08-09","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  206",",,7",,,,,,
"USC00472425","2018-08-10","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  183",",,7",,,,,,
"USC00472425","2018-08-11","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  172",",,7",,,,,,
"USC00472425","2018-08-12","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  189",",,7",,,,,,
"USC00472425","2018-08-13","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  183",",,7",,,,,,
"USC00472425","2018-08-14","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  189",",,7",,,,,,
"USC00472425","2018-08-15","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","  185",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  206",",,7",,,,,,
"USC00472425","2018-08-16","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  200",",,7",,,,,,
"USC00472425","2018-08-17","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  194",",,7",,,,,,
"USC00472425","2018-08-18","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  161",",,7",,,,,,
"USC00472425","2018-08-19","44.7878","-91.5165","268.2","EAU CLAIRE 3 SW, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  156",",,7",,,,,,
