"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USR0000MWOL","2018-07-04","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  211","H,,U","   67","H,,U","  152",",,U"
"USR0000MWOL","2018-07-05","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  244","H,,U","  122","H,,U","  196",",,U"
"USR0000MWOL","2018-07-06","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  311","H,,U","  178","H,,U","  262",",,U"
"USR0000MWOL","2018-07-07","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  272","H,,U","  200","H,,U","  243",",,U"
"USR0000MWOL","2018-07-08","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  289","H,,U","  156","H,,U","  221",",,U"
"USR0000MWOL","2018-07-09","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  317","H,,U","  189","H,,U","  252",",,U"
"USR0000MWOL","2018-07-10","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  344","H,,U","  206","H,,U","  274",",,U"
"USR0000MWOL","2018-07-11","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  244","H,,U","  150","H,,U","  201",",,U"
"USR0000MWOL","2018-07-12","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  283","H,,U","  161","H,,U","  214",",,U"
"USR0000MWOL","2018-07-13","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  306","H,,U","  167","H,,U","  248",",,U"
"USR0000MWOL","2018-07-14","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  267","H,,U","  150","H,,U","  224",",,U"
"USR0000MWOL","2018-07-15","45.3131","-107.1719","1590.1","WOLF MOUNTAIN MONTANA, MT US","  261","H,,U","  133","H,,U","  191",",,U"
