"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USS0012C11S","2018-07-06","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  257",",,T","   95",",,T","  171",",,T","  126",",,T","    0",",,T"
"USS0012C11S","2018-07-07","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  227",",,T","   89",",,T","  152",",,T","   90",",,T","    0",",,T"
"USS0012C11S","2018-07-08","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  232",",,T","   77",",,T","  146",",,T","  118",",,T","    0",",,T"
"USS0012C11S","2018-07-09","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  257",",,T","  102",",,T","  173",",,T","  126",",,T","    0",",,T"
"USS0012C11S","2018-07-10","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  243",",,T","   81",",,T","  164",",,T","   81",",,T","    0",",,T"
"USS0012C11S","2018-07-11","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  206",",,T","   62",",,T","  121",",,T","   72",",,T","    0",",,T"
"USS0012C11S","2018-07-12","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  217",",,T","   61",",,T","  135",",,T","  100",",,T","    0",",,T"
"USS0012C11S","2018-07-13","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  254",",,T","   94",",,T","  167",",,T","  126",",,T","    0",",,T"
"USS0012C11S","2018-07-14","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  229",",,T","   77",",,T","  149",",,T","   81",",,T","    0",",,T"
"USS0012C11S","2018-07-15","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  236",",,T","   76",",,T","  145",",,T","  109",",,T","    0",",,T"
"USS0012C11S","2018-07-16","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  230",",,T","  106",",,T","  160",",,T","  126",",,T","    0",",,T"
"USS0012C11S","2018-07-17","46.36","-112.26","2438.4","ROCKER PEAK, MT US","   51",",,T","    0",",,T","  144",",,T","   95",",,T","  119",",,T","  102",",,T","    0",",,T"
"USS0012C11S","2018-07-18","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  232",",,T","   90",",,T","  156",",,T","  112",",,T","    0",",,T"
"USS0012C11S","2018-07-19","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  225",",,T","  105",",,T","  164",",,T","  106",",,T","    0",",,T"
"USS0012C11S","2018-07-20","46.36","-112.26","2438.4","ROCKER PEAK, MT US","   25",",,T","    0",",,T","  233",",,T","   86",",,T","  155",",,T","  113",",,T","    0",",,T"
"USS0012C11S","2018-07-21","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  248",",,T","   85",",,T","  157",",,T","  100",",,T","    0",",,T"
"USS0012C11S","2018-07-22","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  206",",,T","   49",",,T","  129",",,T","   99",",,T","    0",",,T"
"USS0012C11S","2018-07-23","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  230",",,T","   68",",,T","  144",",,T","  113",",,T","    0",",,T"
"USS0012C11S","2018-07-24","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  222",",,T","  100",",,T","  154",",,T","  102",",,T","    0",",,T"
"USS0012C11S","2018-07-25","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  212",",,T","   70",",,T","  138",",,T","   91",",,T","    0",",,T"
"USS0012C11S","2018-07-26","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  223",",,T","   70",",,T","  136",",,T","   88",",,T","    0",",,T"
"USS0012C11S","2018-07-27","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  167",",,T","   51",",,T","  106",",,T","   53",",,T","    0",",,T"
"USS0012C11S","2018-07-28","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  191",",,T","   48",",,T","  111",",,T","   76",",,T","    0",",,T"
"USS0012C11S","2018-07-29","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  193",",,T","   71",",,T","  123",",,T","   88",",,T","    0",",,T"
"USS0012C11S","2018-07-30","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  235",",,T","   71",",,T","  148",",,T","  119",",,T","    0",",,T"
"USS0012C11S","2018-07-31","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  222",",,T","   95",",,T","  155",",,T","  114",",,T","    0",",,T"
"USS0012C11S","2018-08-01","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  254",",,T","  113",",,T","  176",",,T","  133",",,T","    0",",,T"
"USS0012C11S","2018-08-02","46.36","-112.26","2438.4","ROCKER PEAK, MT US","    0",",,T","    0",",,T","  230",",,T","  108",",,T","  160",",,T","  111",",,T","    0",",,T"
