"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USS0020G06S","2018-07-06","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  195",",,T","  113",",,T",,,"  157",",,T","  119",",,T","    0",",,T"
"USS0020G06S","2018-07-07","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  244",",,T","   82",",,T",,,"  173",",,T","  135",",,T","    0",",,T"
"USS0020G06S","2018-07-08","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  257",",,T","  100",",,T",,,"  181",",,T","  157",",,T","    0",",,T"
"USS0020G06S","2018-07-09","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  256",",,T","  104",",,T",,,"  185",",,T","  124",",,T","    0",",,T"
"USS0020G06S","2018-07-10","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  243",",,T","   88",",,T",,,"  169",",,T","  155",",,T","    0",",,T"
"USS0020G06S","2018-07-11","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  276",",,T","  116",",,T",,,"  198",",,T","  169",",,T","    0",",,T"
"USS0020G06S","2018-07-12","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  289",",,T","  133",",,T",,,"  218",",,T","  206",",,T","    0",",,T"
"USS0020G06S","2018-07-13","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  293",",,T","  142",",,T",,,"  222",",,T","  186",",,T","    0",",,T"
"USS0020G06S","2018-07-14","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  291",",,T","  164",",,T",,,"  230",",,T","  207",",,T","    0",",,T"
"USS0020G06S","2018-07-15","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","   25",",,T","    0",",,T","  230",",,T","  123",",,T",,,"  170",",,T","  143",",,T","    0",",,T"
"USS0020G06S","2018-07-16","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  271",",,T","  100",",,T",,,"  204",",,T","  185",",,T","    0",",,T"
"USS0020G06S","2018-07-17","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  288",",,T","  154",",,T",,,"  223",",,T","  179",",,T","    0",",,T"
"USS0020G06S","2018-07-18","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  288",",,T","  154",",,T",,,"  217",",,T","  177",",,T","    0",",,T"
"USS0020G06S","2018-07-19","42.32","-120.83","1743.5","QUARTZ MOUNTAIN, OR US","    0",",,T","    0",",,T","  280",",,T","  134",",,T",,,"  206",",,T","  163",",,T","    0",",,T"
