"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USS0021A32S","2018-07-06","48.69","-121.91","926.6","ELBOW LAKE, WA US","  203",",,T","    0",",,T","  206",",,T","  102",",,T","  151",",,T","  102",",,T","    0",",,T"
"USS0021A32S","2018-07-07","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  147",",,T","   90",",,T","  110",",,T","   90",",,T","    0",",,T"
"USS0021A32S","2018-07-08","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  232",",,T","   82",",,T","  150",",,T","  124",",,T","    0",",,T"
"USS0021A32S","2018-07-09","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  201",",,T","  100",",,T","  146",",,T","  100",",,T","    0",",,T"
"USS0021A32S","2018-07-10","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  126",",,T","   78",",,T","  103",",,T","   95",",,T","    0",",,T"
"USS0021A32S","2018-07-11","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  235",",,T","   83",",,T","  156",",,T","  135",",,T","    0",",,T"
"USS0021A32S","2018-07-12","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  268",",,T","  119",",,T","  186",",,T","  150",",,T","    0",",,T"
"USS0021A32S","2018-07-13","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  257",",,T","  128",",,T","  183",",,T","  128",",,T","    0",",,T"
"USS0021A32S","2018-07-14","48.69","-121.91","926.6","ELBOW LAKE, WA US","   51",",,T","    0",",,T","  280",",,T","  117",",,T","  192",",,T","  164",",,T","    0",",,T"
"USS0021A32S","2018-07-15","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  295",",,T","  156",",,T","  214",",,T","  168",",,T","    0",",,T"
"USS0021A32S","2018-07-16","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  303",",,T","  155",",,T","  216",",,T","  173",",,T","    0",",,T"
"USS0021A32S","2018-07-17","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  273",",,T","  149",",,T","  203",",,T","  149",",,T","    0",",,T"
"USS0021A32S","2018-07-18","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  211",",,T","  114",",,T","  155",",,T","  114",",,T","    0",",,T"
"USS0021A32S","2018-07-19","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  170",",,T","   96",",,T","  121",",,T","   96",",,T","    0",",,T"
"USS0021A32S","2018-07-20","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  175",",,T","   80",",,T","  113",",,T","   80",",,T","    0",",,T"
"USS0021A32S","2018-07-21","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  194",",,T","   73",",,T","  127",",,T","  111",",,T","    0",",,T"
"USS0021A32S","2018-07-22","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  258",",,T","  110",",,T","  181",",,T","  159",",,T","    0",",,T"
"USS0021A32S","2018-07-23","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  279",",,T","  140",",,T","  201",",,T","  160",",,T","    0",",,T"
"USS0021A32S","2018-07-24","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  278",",,T","  145",",,T","  200",",,T","  168",",,T","    0",",,T"
"USS0021A32S","2018-07-25","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  280",",,T","  151",",,T","  206",",,T","  167",",,T","    0",",,T"
"USS0021A32S","2018-07-26","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  283",",,T","  158",",,T","  208",",,T","  175",",,T","    0",",,T"
"USS0021A32S","2018-07-27","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  264",",,T","  158",",,T","  203",",,T","  173",",,T","    0",",,T"
"USS0021A32S","2018-07-28","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  278",",,T","  156",",,T","  209",",,T","  179",",,T","    0",",,T"
"USS0021A32S","2018-07-29","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  312",",,T","  170",",,T","  235",",,T","  217",",,T","    0",",,T"
"USS0021A32S","2018-07-30","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  330",",,T","  185",",,T","  251",",,T","  185",",,T","    0",",,T"
"USS0021A32S","2018-07-31","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  260",",,T","  145",",,T","  200",",,T","  145",",,T","    0",",,T"
"USS0021A32S","2018-08-01","48.69","-121.91","926.6","ELBOW LAKE, WA US","   51",",,T","    0",",,T","  231",",,T","  122",",,T","  168",",,T","  123",",,T","    0",",,T"
"USS0021A32S","2018-08-02","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  178",",,T","  100",",,T","  127",",,T","  100",",,T","    0",",,T"
"USS0021A32S","2018-08-03","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  134",",,T","   95",",,T","  110",",,T","  107",",,T","    0",",,T"
"USS0021A32S","2018-08-04","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  218",",,T","   93",",,T","  150",",,T","  131",",,T","    0",",,T"
"USS0021A32S","2018-08-05","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  261",",,T","  125",",,T","  185",",,T","  170",",,T","    0",",,T"
"USS0021A32S","2018-08-06","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  278",",,T","  153",",,T","  202",",,T","  160",",,T","    0",",,T"
"USS0021A32S","2018-08-07","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  284",",,T","  154",",,T","  212",",,T","  190",",,T","    0",",,T"
"USS0021A32S","2018-08-08","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  316",",,T","  180",",,T","  240",",,T","  198",",,T","    0",",,T"
"USS0021A32S","2018-08-09","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  309",",,T","  180",",,T","  232",",,T","  198",",,T","    0",",,T"
"USS0021A32S","2018-08-10","48.69","-121.91","926.6","ELBOW LAKE, WA US","   25",",,T","    0",",,T","  261",",,T","  158",",,T","  209",",,T","  160",",,T","    0",",,T"
"USS0021A32S","2018-08-11","48.69","-121.91","926.6","ELBOW LAKE, WA US","  127",",,T","    0",",,T","  160",",,T","  109",",,T","  123",",,T","  110",",,T","    0",",,T"
"USS0021A32S","2018-08-12","48.69","-121.91","926.6","ELBOW LAKE, WA US","    0",",,T","    0",",,T","  174",",,T","  103",",,T","  125",",,T","  116",",,T","    0",",,T"
