"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00012962","2018-07-04","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","   13",",,W,2400",,,"    0",",,H","  406",",,W","  222",",,W",,,,,"   34",",,W",,,,,,,,,,,,,,,,,"   60",",,W","   70",",,W",,,"  192",",,W","  237",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-05","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","   20",",,W,2400",,,"    0",",,H","  339",",,W","  233",",,W",,,,,"   33",",,W",,,,,,,,,,,,,,,,,"  130",",,W","   80",",,W",,,"   72",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-06","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","  305",",,W,2400",,,"    0",",,H","  350",",,W","  228",",,W",,,,,"   26",",,W",,,,,,,,,,,,,,,,,"   70",",,W","   70",",,W",,,"  157",",,W","  179",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-07","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","   38",",,W,2400","    0",",,H","    0",",,H",,,,,,,,,"   23",",,W",,,,,,,,,,,,,,,,,"   40",",,W","   60",",,W",,,"   94",",,W","  116",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-08","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  233",",,W",,,,,"   34",",,W",,,,,,,,,,,,,,,,,"  140",",,W","  130",",,W",,,"  103",",,W","  121",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-09","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","   46",",,W,2400","    0",",,H","    0",",,H","  289",",,W","  239",",,W",,,,,"   39",",,W",,,,,,,,,,,,,,,,,"   20",",,W","   20",",,W",,,"   72",",,W","   85",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-10","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  356",",,W","  239",",,W",,,,,"   33",",,W",,,,,,,,,,,,,,,,,"  170",",,W","  130",",,W",,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-11","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  367",",,W","  222",",,W",,,,,"   33",",,W",,,,,,,,,,,,,,,,,"  120",",,W","  130",",,W",,,"   67",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-12","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  367",",,W","  228",",,W",,,,,"   39",",,W",,,,,,,,,,,,,,,,,"  140",",,W","  130",",,W",,,"   81",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012962","2018-07-13","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  372",",,W","  250",",,W",,,,,"   43",",,W",,,,,,,,,,,,,,,,,"  150",",,W","  150",",,W",,,"  103",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
