"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00013942","2018-07-06","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","  140",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  233",",,W","   30",",,W",,,,,,,,,,,"   50",",,W","   60",",,W",,,"  174",",,W","  300",",,W",,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-07","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  228",",,W","   30",",,W",,,,,,,,,,,"   70",",,W","   90",",,W",,,"   63",",,W","   94",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-08","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","   66",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  228",",,W","   18",",,W",,,,,,,,,,,"  190",",,W","  190",",,W",,,"   72",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-09","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","   43",",,W,2400","    0",",,H","    0",",,H","  317",",,W","  233",",,W","   16",",,W",,,,,,,,,,,"  230",",,W","  220",",,W",,,"   81",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-10","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","  203",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  233",",,W","   16",",,W",,,,,,,,,,,"  280",",,W","  270",",,W",,,"   89",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-11","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","   13",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  233",",,W","   12",",,W",,,,,,,,,,,"  340",",,W","  350",",,W",,,"  103",",,W","  134",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-12","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  228",",,W","   12",",,W",,,,,,,,,,,"  110",",,W","  110",",,W",,,"   36",",,W","   54",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-13","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  356",",,W","  239",",,W","    9",",,W",,,,,,,,,,,"  170",",,W","  160",",,W",,,"   45",",,W","   63",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-14","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  356",",,W","  239",",,W","   13",",,W",,,,,,,,,,,"   10",",,W","   80",",,W",,,"   63",",,W","   81",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013942","2018-07-15","32.5155","-92.0405","24.1","MONROE REGIONAL AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  361",",,W","  256",",,W","   24",",,W",,,,,,,,,,,"  280",",,W","  280",",,W",,,"   58",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
