"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00053868","2018-07-06","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","  305",",,W,2400",,,,,"  328",",,W","  217",",,W","   10",",,W",,,,,,,,,"  360",",,W","   10",",,W",,,"   67",",,W","  130",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-07","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","  157",",,W,2400",,,,,"  294",",,W","  211",",,W","    5",",,W",,,,,,,,,"   90",",,W","   70",",,W",,,"   89",",,W","  134",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-08","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","    0",",,W,2400",,,,,"  317",",,W","  211",",,W","    4",",,W",,,,,,,,,"   90",",,W","   80",",,W",,,"   36",",,W","   49",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-09","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","    0",",,W,2400",,,,,"  322",",,W","  194",",,W","    6",",,W",,,,,,,,,"  280",",,W","  160",",,W",,,"   36",",,W","   49",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-10","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","    0","T,,W,2400",,,,,"  339",",,W","  211",",,W","    6",",,W",,,,,,,,,"  280",",,W","  250",",,W",,,"   36",",,W","   54",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-11","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","    0","T,,W,2400",,,,,"  328",",,W","  228",",,W","    3",",,W",,,,,,,,,"  330",",,W","  330",",,W",,,"   45",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-12","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","    0",",,W,2400",,,,,"  333",",,W","  222",",,W","    7",",,W",,,,,,,,,"   80",",,W","   80",",,W",,,"   36",",,W","   58",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-13","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","    0",",,W,2400",,,,,"  339",",,W","  206",",,W","    4",",,W",,,,,,,,,"  330",",,W","  340",",,W",,,"   31",",,W","   54",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-14","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","    0",",,W,2400",,,,,"  328",",,W","  233",",,W","    6",",,W",,,,,,,,,"  150",",,W","  140",",,W",,,"   40",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053868","2018-07-15","36.023","-84.2337","274.3","OAK RIDGE ASOS, TN US","    0","T,,W,2400",,,,,"  322",",,W","  233",",,W","    9",",,W",,,,,,,,,"  260",",,W","  290",",,W",,,"   36",",,W","   54",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
