"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094023","2018-07-06","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0",",,W",,,,,"  361",",,W","  183",",,W","   55",",,W",,,,,,,,,"  170",",,W","  170",",,W","   98",",,W","  121",",,W",,,,,,,,,,,,
"USW00094023","2018-07-07","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0",",,W",,,,,"  361",",,W","  194",",,W","   39",",,W",,,,,,,,,"  210",",,W","  210",",,W","   98",",,W","  121",",,W",,,,,"    1",",,W",,,,,,
"USW00094023","2018-07-08","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0",",,W",,,,,"  328",",,W","  189",",,W","   45",",,W",,,,,,,,,"  200",",,W","  210",",,W","  112",",,W","  134",",,W",,,,,"    1",",,W",,,,,,
"USW00094023","2018-07-09","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0","T,,W",,,,,"  339",",,W","  233",",,W","   67",",,W",,,,,,,,,"  180",",,W","  200",",,W","  148",",,W","  192",",,W",,,,,"    1",",,W",,,,,,
"USW00094023","2018-07-10","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0","T,,W",,,,,"  383",",,W","  206",",,W","   43",",,W",,,,,,,,,"  230",",,W","  230",",,W","  148",",,W","  192",",,W",,,,,"    1",",,W",,,,,,
"USW00094023","2018-07-11","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0","T,,W",,,,,"  267",",,W","  178",",,W","   42",",,W",,,,,,,,,"   30",",,W","  360",",,W","   81",",,W","   98",",,W",,,,,,,,,,,,
"USW00094023","2018-07-12","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    3",",,W",,,,,"  283",",,W","  167",",,W","   47",",,W",,,,,,,,,"  150",",,W","  150",",,W","  107",",,W","  130",",,W",,,,,,,,,,,,
"USW00094023","2018-07-13","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0","T,,W",,,,,"  328",",,W","  172",",,W","   60",",,W",,,,,,,,,"  150",",,W","  160",",,W","  103",",,W","  130",",,W",,,,,"    1",",,W",,,,,,
"USW00094023","2018-07-14","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0","T,,W",,,,,"  367",",,W","  167",",,W","   66",",,W",,,,,,,,,"   20",",,W","   20",",,W","  139",",,W","  170",",,W",,,,,,,,,,,,
"USW00094023","2018-07-15","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","   28",",,W",,,,,"  289",",,W","  167",",,W","   44",",,W",,,,,,,,,"  150",",,W","  160",",,W","   94",",,W","  116",",,W",,,,,"    1",",,W",,,,,,
"USW00094023","2018-07-16","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","   18",",,W",,,,,"  294",",,W","  156",",,W","   26",",,W",,,,,,,,,"  170",",,W","  170",",,W","  107",",,W","  134",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00094023","2018-07-17","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","   33",",,W",,,,,"  317",",,W","  144",",,W","   44",",,W",,,,,,,,,"  110",",,W","  110",",,W","  116",",,W","  143",",,W",,,,,"    1",",,W",,,,,,
"USW00094023","2018-07-18","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0",",,W",,,,,"  311",",,W","  139",",,W","   44",",,W",,,,,,,,,"  340",",,W","  350",",,W","  139",",,W","  174",",,W",,,,,,,,,,,,
"USW00094023","2018-07-19","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0",",,W",,,,,"  317",",,W","  128",",,W","   41",",,W",,,,,,,,,"  340",",,W","  350",",,W","   98",",,W","  116",",,W",,,,,,,,,,,,
"USW00094023","2018-07-20","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0",",,W",,,,,"  333",",,W","  117",",,W","   53",",,W",,,,,,,,,"  140",",,W","  150",",,W","  103",",,W","  134",",,W",,,,,,,,,,,,
"USW00094023","2018-07-21","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","   18",",,W",,,,,"  344",",,W","  167",",,W","   57",",,W",,,,,,,,,"  150",",,W","  140",",,W","  125",",,W","  157",",,W",,,,,"    1",",,W",,,"    1",",,W",,
"USW00094023","2018-07-22","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    0",",,W",,,,,"  289",",,W","  122",",,W","   45",",,W",,,,,,,,,"  340",",,W","  340",",,W","  134",",,W","  165",",,W",,,,,,,,,,,,
"USW00094023","2018-07-23","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","   53",",,W",,,,,"  300",",,W","   94",",,W","   53",",,W",,,,,,,,,"  150",",,W","  140",",,W","  112",",,W","  148",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00094023","2018-07-24","44.33944","-105.54194","1327.1","GILLETTE CAMPBELL CO AIRPORT, WY US","    5",",,W",,,,,"  322",",,W","  122",",,W","   26",",,W",,,,,,,,,"  280",",,W","  280",",,W","  134",",,W","  165",",,W",,,,,"    1",",,W",,,,,,
