"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094732","2018-07-05","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0","T,,W,",,,"  344",",,W","  250",",,W","   23",",,W",,," 1713",",,W",,,,,"  210",",,W","  220",",,W","   63",",,W","   89",",,W",,,,,,,,
"USW00094732","2018-07-06","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   43",",,W,",,,"  294",",,W","  200",",,W","   38",",,W",,," 1055",",,W",,,,,"  360",",,W","  290",",,W","   76",",,W","  103",",,W",,,,,,,,
"USW00094732","2018-07-07","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  267",",,W","  161",",,W","   36",",,W",,," 0907",",,W",,,,,"   50",",,W","   40",",,W","   89",",,W","  107",",,W",,,,,,,,
"USW00094732","2018-07-08","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  294",",,W","  144",",,W","   15",",,W",,," 1106",",,W",,,,,"   50",",,W","   70",",,W","   58",",,W","   76",",,W",,,,,,,,
"USW00094732","2018-07-09","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  328",",,W","  161",",,W","   23",",,W",,," 2053",",,W",,,,,"  250",",,W","  240",",,W","   63",",,W","   81",",,W",,,,,,,,
"USW00094732","2018-07-10","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  350",",,W","  194",",,W","   27",",,W",,," 1606",",,W",,,,,"  290",",,W","  290",",,W","   72",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-07-11","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  328",",,W","  239",",,W","   39",",,W",,," 0739",",,W",,,,,"   20",",,W","  360",",,W","   72",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-07-12","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  317",",,W","  211",",,W","   27",",,W",,," 1521",",,W",,,,,"  110",",,W","   90",",,W","   67",",,W","   85",",,W",,,,,,,,
"USW00094732","2018-07-13","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  322",",,W","  183",",,W","   20",",,W",,," 1523",",,W",,,,,"  210",",,W","  120",",,W","   45",",,W","   67",",,W",,,,,,,,
"USW00094732","2018-07-14","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  344",",,W","  194",",,W","   34",",,W",,," 1235",",,W",,,,,"  270",",,W","  270",",,W","   81",",,W","  107",",,W",,,,,,,,
"USW00094732","2018-07-15","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  185",",,W,",,,"  311",",,W","  222",",,W","   25",",,W",,," 1124",",,W",,,,,"  280",",,W","  290",",,W","   67",",,W","   85",",,W",,,,,,,,
"USW00094732","2018-07-16","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  356",",,W","  239",",,W","   30",",,W",,," 2332",",,W",,,,,"  210",",,W","  210",",,W","   67",",,W","   98",",,W",,,,,,,,
"USW00094732","2018-07-17","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  104",",,W,",,,"  350",",,W","  233",",,W","   32",",,W",,," 1407",",,W",,,,,"  340",",,W","  340",",,W","  125",",,W","  148",",,W",,,,,,,,
"USW00094732","2018-07-18","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  311",",,W","  211",",,W","   40",",,W",,," 1310",",,W",,,,,"   10",",,W","   10",",,W","   72",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-07-19","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  306",",,W","  167",",,W","   18",",,W",,," 1826",",,W",,,,,"  130",",,W","  140",",,W","   67",",,W","   81",",,W",,,,,,,,
"USW00094732","2018-07-20","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  306",",,W","  178",",,W","   26",",,W",,," 1804",",,W",,,,,"  140",",,W","  130",",,W","   72",",,W","   89",",,W",,,,,,,,
"USW00094732","2018-07-21","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  206",",,W,",,,"  261",",,W","  178",",,W","   61",",,W",,," 2338",",,W",,,,,"   90",",,W","   90",",,W","  130",",,W","  183",",,W",,,,,,,,
"USW00094732","2018-07-22","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   91",",,W,",,,"  311",",,W","  222",",,W","   45",",,W",,," 0022",",,W",,,,,"  130",",,W","  100",",,W","  107",",,W","  143",",,W",,,,,,,,
"USW00094732","2018-07-23","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   13",",,W,",,,"  306",",,W","  256",",,W","   44",",,W",,," 1223",",,W",,,,,"  140",",,W","  130",",,W","   94",",,W","  143",",,W",,,,,,,,
"USW00094732","2018-07-24","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   18",",,W,",,,"  311",",,W","  256",",,W","   45",",,W",,," 1208",",,W",,,,,"  140",",,W","  140",",,W","   94",",,W","  134",",,W",,,,,,,,
"USW00094732","2018-07-25","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  152",",,W,",,,"  300",",,W","  233",",,W","   22",",,W",,," 1638",",,W",,,,,"  230",",,W","  160",",,W","   67",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-07-26","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0","T,,W,",,,"  322",",,W","  222",",,W","   22",",,W",,," 1558",",,W",,,,,"  280",",,W","  280",",,W","   58",",,W","   72",",,W",,,,,,,,
"USW00094732","2018-07-27","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  340",",,W,",,,"  328",",,W","  217",",,W","   17",",,W",,," 1529",",,W",,,,,"  280",",,W","  260",",,W","   89",",,W","  143",",,W",,,,,,,,
