"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT12","WT12_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"WQW00041606","2018-05-07","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  255","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-08","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  259","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-09","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  263","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-10","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  260","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-11","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  262","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-12","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  265","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-13","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  261","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-14","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  259","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-15","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  268","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-16","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  268","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-17","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  273","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-18","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  273","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-19","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  276","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-20","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  274","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-21","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  273","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-22","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  283","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-23","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  274","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-24","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  275","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-25","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  276","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-26","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  276","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-27","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  277","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-28","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  278","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-29","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  273","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-30","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  274","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-05-31","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  274","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-01","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  271","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-02","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  276","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-03","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  272","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-04","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  266","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-05","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  266","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-06","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  273","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-07","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  270","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-08","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  274","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-09","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  278","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-10","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  281","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-11","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  277","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-12","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  278","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-13","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  279","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-14","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  280","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-15","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  277","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-16","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  282","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-17","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  282","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-18","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  286","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQW00041606","2018-06-19","19.28333","166.65","7.0","WAKE ISLAND, UM WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  283","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
